topicId,words..
1,underlined page handwritten red pencil president ink governor side agent
2,mrs oswald lee ray handwritten marina dallas bouhe russian mr
3,det illegible lt ruby police street man officer department area
4,president mrs kennedy car johnson seat hill agents kellerman air
5,commission oswald witnesses assassination john november date davis fbi kennedy
6,mr hubert chief office department crull city police page present
7,sa governor president left wound vice connally hospital area handwritten
8,time dallas police special immediately shot stated john connally found
9,dr president clark blood arrived det doctors robert charles parkland
10,mr dallas texas page depositions staff mrs april left craig
